epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.614,1.17001,4.52188,1.01109,0.01897,0.1727,0.01405,0.00804,0.9924,4.5094,0.90266,0.000163462,0.000163462,0.000163462
2,288.496,1.12881,3.83849,0.93885,0.56511,0.09691,0.08419,0.06729,1.03348,3.85602,0.9056,0.000323592,0.000323592,0.000323592
3,5420.97,1.2169,3.24975,0.93847,0.51437,0.21375,0.16777,0.13356,1.08342,2.97619,0.91695,0.000477122,0.000477122,0.000477122
4,5582.85,1.16633,2.63149,0.93199,0.5173,0.33818,0.26259,0.21224,0.99578,2.16817,0.90038,0.0004703,0.0004703,0.0004703
5,5744.6,1.13564,2.24702,0.92217,0.50332,0.3801,0.32846,0.27005,0.89002,1.8413,0.88716,0.0004604,0.0004604,0.0004604
6,5897.42,1.01248,1.87788,0.90626,0.60485,0.38888,0.38942,0.32177,0.85108,1.63939,0.88365,0.0004505,0.0004505,0.0004505
7,6054.33,0.96033,1.66174,0.90117,0.63709,0.42234,0.43962,0.37316,0.77141,1.42675,0.87297,0.0004406,0.0004406,0.0004406
8,6198.38,0.91691,1.4988,0.89169,0.7,0.43365,0.47447,0.40336,0.7411,1.28231,0.86328,0.0004307,0.0004307,0.0004307
9,6363.33,0.86029,1.36807,0.8835,0.62271,0.44989,0.47775,0.40197,0.76745,1.3129,0.86901,0.0004208,0.0004208,0.0004208
10,6549.75,0.84521,1.29658,0.87635,0.62801,0.48837,0.49925,0.42119,0.7127,1.1476,0.85127,0.0004109,0.0004109,0.0004109
11,6693.66,0.82452,1.23608,0.87554,0.73743,0.44651,0.5192,0.43871,0.70473,1.10129,0.85009,0.000401,0.000401,0.000401
12,6852.43,0.77823,1.16678,0.86528,0.62973,0.51593,0.53643,0.46213,0.6517,1.07146,0.84319,0.0003911,0.0003911,0.0003911
13,7044.34,0.78412,1.14662,0.86453,0.66086,0.51484,0.55389,0.47077,0.66003,1.05357,0.84053,0.0003812,0.0003812,0.0003812
14,7234.07,0.76413,1.09742,0.86013,0.65991,0.51471,0.55367,0.47632,0.63431,1.01061,0.83707,0.0003713,0.0003713,0.0003713
15,7423.37,0.74408,1.07383,0.85678,0.6799,0.50936,0.55554,0.4723,0.66978,1.04981,0.84176,0.0003614,0.0003614,0.0003614
16,7610.03,0.75803,1.06958,0.85605,0.68074,0.52411,0.58256,0.49887,0.61788,0.98985,0.83403,0.0003515,0.0003515,0.0003515
17,7795.95,0.74455,1.04708,0.86035,0.71364,0.51091,0.58459,0.49756,0.63183,0.96265,0.83509,0.0003416,0.0003416,0.0003416
18,7962.06,0.72271,1.02361,0.85163,0.64962,0.55071,0.60472,0.51998,0.60476,0.95217,0.83501,0.0003317,0.0003317,0.0003317
19,8124.97,0.70927,1.00474,0.85282,0.63072,0.55765,0.60987,0.52051,0.61672,0.94995,0.83187,0.0003218,0.0003218,0.0003218
20,8236.37,0.71589,0.99858,0.8497,0.64856,0.56842,0.61514,0.53269,0.59329,0.93288,0.8289,0.0003119,0.0003119,0.0003119
21,8343.6,0.69355,0.96802,0.85149,0.61977,0.57246,0.61322,0.51733,0.63005,0.93176,0.83261,0.000302,0.000302,0.000302
22,8451.61,0.71481,0.97043,0.84685,0.69188,0.54053,0.62835,0.53541,0.59556,0.89427,0.83005,0.0002921,0.0002921,0.0002921
23,9267.63,0.7069,0.96145,0.85158,0.60228,0.61024,0.63981,0.54787,0.5961,0.89786,0.82927,0.0002822,0.0002822,0.0002822
24,9378.09,0.68467,0.93693,0.84868,0.65544,0.59951,0.64038,0.54209,0.60258,0.86588,0.82943,0.0002723,0.0002723,0.0002723
25,9488.46,0.66881,0.91947,0.8461,0.67896,0.586,0.64827,0.55016,0.58792,0.88205,0.82601,0.0002624,0.0002624,0.0002624
26,9620.58,0.67358,0.92388,0.84313,0.64373,0.5924,0.63908,0.54632,0.60125,0.90433,0.82713,0.0002525,0.0002525,0.0002525
27,9734.86,0.66718,0.91107,0.84257,0.6184,0.63474,0.64219,0.54899,0.60189,0.88148,0.8268,0.0002426,0.0002426,0.0002426
28,9847.67,0.67317,0.91722,0.84372,0.65542,0.58615,0.65367,0.56596,0.56115,0.85253,0.82307,0.0002327,0.0002327,0.0002327
29,9961.49,0.65958,0.90254,0.84443,0.66471,0.61462,0.65476,0.56699,0.56957,0.85919,0.82404,0.0002228,0.0002228,0.0002228
30,10075.2,0.65829,0.88417,0.83707,0.65856,0.6192,0.6679,0.57007,0.57492,0.8417,0.82252,0.0002129,0.0002129,0.0002129
31,10188.7,0.65936,0.88555,0.8373,0.70043,0.58472,0.66923,0.56769,0.5909,0.84643,0.82426,0.000203,0.000203,0.000203
32,10301.1,0.6513,0.87518,0.83939,0.65544,0.61137,0.673,0.57215,0.5842,0.84804,0.82352,0.0001931,0.0001931,0.0001931
33,10441.4,0.64911,0.86935,0.83634,0.6165,0.64196,0.67904,0.58406,0.54819,0.81081,0.81911,0.0001832,0.0001832,0.0001832
34,10556.7,0.64802,0.86309,0.83507,0.68815,0.60795,0.68506,0.58888,0.5373,0.80339,0.82052,0.0001733,0.0001733,0.0001733
35,10669.5,0.6333,0.84099,0.8389,0.68529,0.63668,0.68599,0.58803,0.55053,0.80164,0.81792,0.0001634,0.0001634,0.0001634
36,10782.5,0.64543,0.84724,0.83844,0.62552,0.66657,0.68975,0.59077,0.56264,0.78879,0.81821,0.0001535,0.0001535,0.0001535
37,10945,0.63752,0.82787,0.83425,0.62709,0.67599,0.69916,0.6015,0.54284,0.78007,0.8161,0.0001436,0.0001436,0.0001436
38,11138.5,0.61281,0.81668,0.83695,0.64807,0.67099,0.69764,0.59709,0.54494,0.78285,0.81642,0.0001337,0.0001337,0.0001337
39,11329.2,0.61829,0.81034,0.82932,0.67135,0.65732,0.70096,0.5949,0.56246,0.77601,0.81768,0.0001238,0.0001238,0.0001238
40,11516,0.64031,0.81528,0.8328,0.66478,0.67217,0.70156,0.59859,0.53284,0.76067,0.81488,0.0001139,0.0001139,0.0001139
41,11699.9,0.57435,0.81676,0.82391,0.69848,0.61283,0.69417,0.58837,0.54414,0.79376,0.81729,0.000104,0.000104,0.000104
42,11918.7,0.55455,0.79044,0.82017,0.67122,0.66691,0.70089,0.60117,0.53457,0.77052,0.81588,9.41e-05,9.41e-05,9.41e-05
43,12203.3,0.55726,0.77911,0.81979,0.66431,0.68423,0.70677,0.59806,0.53459,0.77005,0.81521,8.42e-05,8.42e-05,8.42e-05
44,12384.9,0.54937,0.77273,0.81753,0.67102,0.68137,0.71479,0.60663,0.5319,0.75733,0.81426,7.43e-05,7.43e-05,7.43e-05
45,12568,0.54704,0.76216,0.8181,0.6669,0.69429,0.71586,0.60848,0.5475,0.75805,0.81646,6.44e-05,6.44e-05,6.44e-05
46,12751,0.53057,0.74925,0.81845,0.72026,0.66478,0.71698,0.61534,0.52211,0.74713,0.81321,5.45e-05,5.45e-05,5.45e-05
47,12934,0.54637,0.75252,0.81725,0.71251,0.66335,0.71811,0.61395,0.51695,0.74163,0.81282,4.46e-05,4.46e-05,4.46e-05
48,13115.9,0.53693,0.7438,0.8177,0.73462,0.66018,0.72193,0.6207,0.52537,0.74152,0.81265,3.47e-05,3.47e-05,3.47e-05
49,13298.1,0.53427,0.73725,0.81313,0.74412,0.6441,0.72278,0.62172,0.50759,0.73319,0.81125,2.48e-05,2.48e-05,2.48e-05
50,13480.3,0.52363,0.72841,0.81492,0.71017,0.66318,0.7224,0.62272,0.51528,0.73374,0.8116,1.49e-05,1.49e-05,1.49e-05
